City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Pisco,PE,77.05,clear sky,-13.7,-76.2167,La Portada
16,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti International Resort
19,Rikitea,PF,77.58,moderate rain,-23.1203,-134.9692,Chez Bianca & Benoit
21,Marechal Candido Rondon,BR,79.16,light rain,-24.5561,-54.0567,Hotel Danúbio
24,Hirara,JP,70.12,scattered clouds,24.8,125.2833,古謝そば屋
27,Mahibadhoo,MV,81.05,few clouds,3.7833,72.9667,Coral View Inn
29,Balsas,BR,83.35,overcast clouds,-7.5325,-46.0356,Imperial Hotel
33,Victoria,HK,71.2,scattered clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
40,Banda Aceh,ID,78.24,overcast clouds,5.5577,95.3222,Hotel 61
41,Atuona,PF,80.02,broken clouds,-9.8,-139.0333,Pearl Resort
44,Chuy,UY,80.69,light rain,-33.6971,-53.4616,Alerces
45,Kapaa,US,77.11,scattered clouds,22.0752,-159.319,Pono Kai Resort
47,Kavieng,PG,81.72,overcast clouds,-2.5744,150.7967,Kavieng Hotel
59,Mahebourg,MU,77.29,light rain,-20.4081,57.7,Grand Bel Air
74,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Maceió Hostel e Pousada
76,Maputo,MZ,80.22,few clouds,-25.9653,32.5892,Mozaika
81,Hithadhoo,MV,81.59,few clouds,-0.6,73.0833,Pebbles Inn
82,Lorengau,PG,79.92,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
86,Santa Marta,CO,87.85,few clouds,11.2408,-74.199,Casa Mita
91,Mecca,SA,74.89,broken clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
92,Yeppoon,AU,76.78,few clouds,-23.1333,150.7333,Blossom's on Seaspray
94,Isangel,VU,80.71,scattered clouds,-19.55,169.2667,Tanna Lodge
97,Yambio,SS,74.21,overcast clouds,4.5721,28.3955,Kabash Inn
102,Dwarka,IN,76.84,overcast clouds,22.2394,68.9678,The Dwarika Hotel
105,Puerto Ayora,EC,85.96,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
110,Hilo,US,81.28,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
112,Salalah,OM,78.89,clear sky,17.0151,54.0924,Muscat International Hotel
131,Akure,NG,76.64,light rain,7.2526,5.1931,Helena Hotel
137,Aswan,EG,71.44,scattered clouds,24.0934,32.907,Yaseen hotel
141,Langsa,ID,73.65,overcast clouds,4.4683,97.9683,Harmoni Hotel
