City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pisco,PE,-13.7,-76.2167,77.05,78,0,5.75,clear sky
1,Yellowknife,CA,62.456,-114.3525,0.12,60,20,14.97,few clouds
2,Saint George,US,37.1041,-113.5841,67.24,64,75,8.99,broken clouds
3,Hamilton,US,39.1834,-84.5333,46.76,54,0,10.36,clear sky
4,Hobart,AU,-42.8794,147.3294,58.26,69,40,10.36,scattered clouds
5,Codrington,AU,-38.2667,141.9667,56.3,93,79,4.83,broken clouds
6,Port Alfred,ZA,-33.5906,26.891,66.18,83,86,4.0,overcast clouds
7,Carnarvon,AU,-24.8667,113.6333,75.22,76,0,23.42,clear sky
8,Rush,IE,53.5223,-6.0931,50.95,94,75,12.66,broken clouds
9,Puga,MX,21.5833,-104.8167,82.47,50,75,6.91,broken clouds
10,New Norfolk,AU,-42.7826,147.0587,57.92,66,50,1.99,scattered clouds
11,Mutoko,ZW,-17.397,32.2268,64.04,87,100,6.58,overcast clouds
12,Klaksvik,FO,62.2266,-6.589,23.92,51,100,9.84,overcast clouds
13,Norman Wells,CA,65.282,-126.8329,-0.36,65,75,0.0,broken clouds
14,Naron,ES,43.5167,-8.1528,61.66,94,100,11.63,overcast clouds
15,Kortkeros,RU,61.8106,51.5806,14.18,98,98,4.63,overcast clouds
16,Vaini,TO,-21.2,-175.2,80.76,78,75,10.36,broken clouds
17,Upernavik,GL,72.7868,-56.1549,-7.98,82,68,4.7,broken clouds
18,Mataura,NZ,-46.1927,168.8643,60.67,56,96,5.32,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,77.58,84,72,31.56,moderate rain
20,Sisimiut,GL,66.9395,-53.6735,12.02,77,4,4.63,clear sky
21,Marechal Candido Rondon,BR,-24.5561,-54.0567,79.16,77,79,1.7,light rain
22,Talnakh,RU,69.4865,88.3972,15.21,96,100,9.73,light snow
23,Albany,US,42.6001,-73.9662,39.58,70,99,5.75,overcast clouds
24,Hirara,JP,24.8,125.2833,70.12,74,32,13.47,scattered clouds
25,Ushuaia,AR,-54.8,-68.3,55.06,35,20,10.36,few clouds
26,Lubango,AO,-14.9172,13.4925,62.46,94,29,4.61,scattered clouds
27,Mahibadhoo,MV,3.7833,72.9667,81.05,78,17,11.54,few clouds
28,Bonavista,CA,48.6499,-53.1147,33.01,96,100,22.46,overcast clouds
29,Balsas,BR,-7.5325,-46.0356,83.35,65,99,4.05,overcast clouds
30,Saskylakh,RU,71.9167,114.0833,-11.69,91,99,7.72,overcast clouds
31,Port Lincoln,AU,-34.7333,135.8667,60.3,79,8,10.2,clear sky
